title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Million Dollar Baby,132,Drama;Sport,Clint Eastwood,F.X. Toole;Paul Haggis,Hilary Swank;Clint Eastwood;Morgan Freeman,8.1,"568,614"
Le salaire de la peur,131,Adventure;Drama;Thriller,Henri-Georges Clouzot,Henri-Georges Clouzot;Georges Arnaud,Yves Montand;Charles Vanel;Peter van Eyck,8.1,"46,379"
La passion de Jeanne d'Arc,110,Biography;Drama;History,Carl Theodor Dreyer,Carl Theodor Dreyer;Joseph Delteil,Maria Falconetti;Eugene Silvain;André Berley,8.2,"38,492"
Rang De Basanti,157,Comedy;Drama,Rakeysh Omprakash Mehra,Renzil D'Silva;Prasoon Joshi,Aamir Khan;Soha Ali Khan;Siddharth,8.2,"96,502"
Rush,123,Action;Biography;Drama,Ron Howard,Peter Morgan,Daniel Brühl;Chris Hemsworth;Olivia Wilde,8.1,"379,656"
Mad Max: Fury Road,120,Action;Adventure;Sci-Fi,George Miller,George Miller;Brendan McCarthy,Tom Hardy;Charlize Theron;Nicholas Hoult,8.1,"742,248"
Before Sunrise,101,Drama;Romance,Richard Linklater,Richard Linklater;Kim Krizan,Ethan Hawke;Julie Delpy;Andrea Eckert,8.1,"228,694"
Les quatre cents coups,99,Crime;Drama,François Truffaut,François Truffaut;Marcel Moussy,Jean-Pierre Léaud;Albert Rémy;Claire Maurier,8.1,"88,629"
Spotlight,129,Crime;Drama;History,Tom McCarthy,Tom McCarthy;Josh Singer,Mark Ruffalo;Michael Keaton;Rachel McAdams,8.1,"341,361"
Hachi: A Dog's Tale,93,Drama;Family,Lasse Hallström,Stephen P. Lindsey;Kaneto Shindô,Richard Gere;Joan Allen;Cary-Hiroyuki Tagawa,8.1,"212,437"
Prisoners,153,Crime;Drama;Mystery,Denis Villeneuve,Aaron Guzikowski,Hugh Jackman;Jake Gyllenhaal;Viola Davis,8.1,"502,253"
Logan,137,Action;Drama;Sci-Fi,James Mangold,Scott Frank;James Mangold,Hugh Jackman;Patrick Stewart;Dafne Keen,8.1,"517,344"
Amores perros,154,Drama;Thriller,Alejandro G. Iñárritu,Guillermo Arriaga,Emilio Echevarría;Gael García Bernal;Goya Toledo,8.1,"201,778"
The Princess Bride,98,Adventure;Family;Fantasy,Rob Reiner,William Goldman,Cary Elwes;Mandy Patinkin;Robin Wright,8.1,"345,789"
Kaze no tani no Naushika,117,Animation;Adventure;Fantasy,Hayao Miyazaki,Hayao Miyazaki,Sumi Shimamoto;Mahito Tsujimura;Hisako Kyôda,8.1,"122,788"
Catch Me If You Can,141,Biography;Crime;Drama,Steven Spielberg,Frank Abagnale Jr.;Jeff Nathanson,Leonardo DiCaprio;Tom Hanks;Christopher Walken,8.1,"681,232"
Butch Cassidy and the Sundance Kid,110,Biography;Crime;Drama,George Roy Hill,William Goldman,Paul Newman;Robert Redford;Katharine Ross,8.1,"181,271"
Harry Potter and the Deathly Hallows: Part 2,130,Adventure;Drama;Fantasy,David Yates,Steve Kloves;J.K. Rowling,Daniel Radcliffe;Emma Watson;Rupert Grint,8.1,"663,244"
Rocky,120,Drama;Sport,John G. Avildsen,Sylvester Stallone,Sylvester Stallone;Talia Shire;Burt Young,8.1,"454,157"
Barry Lyndon,185,Adventure;Drama;History,Stanley Kubrick,William Makepeace Thackeray;Stanley Kubrick,Ryan O'Neal;Marisa Berenson;Patrick Magee,8.1,"126,779"
"Monsters, Inc.",92,Animation;Adventure;Comedy,David Silverman;Pete Docter,Pete Docter;Jill Culton,Billy Crystal;John Goodman;Mary Gibbs,8.1,"708,663"
The Grapes of Wrath,129,Drama;History,John Ford,Nunnally Johnson;John Steinbeck,Henry Fonda;Jane Darwell;John Carradine,8.1,"78,410"
The Maltese Falcon,100,Film-Noir;Mystery,John Huston,Dashiell Hammett;John Huston,Humphrey Bogart;Mary Astor;Gladys George,8.1,"136,297"
